,RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
0,1,Bulls,6,130800,21800,104.2,8,17164,87.7,14,19150,95.1
1,2,Cavaliers,9,185058,20562,100.0,8,19296,97.2,17,19966,98.7
2,3,Mavericks,7,140555,20079,104.6,10,17444,94.0,17,18529,98.4
3,4,Raptors,5,99340,19868,100.3,12,17858,93.2,17,18449,95.3
4,5,NY Knicks,8,158496,19812,100.0,9,19014,98.8,17,19389,99.4
5,6,Heat,10,196599,19659,100.3,5,16840,84.2,15,18720,94.9
6,7,Warriors,10,195960,19596,100.0,8,17923,97.8,18,18852,99.0
7,8,Jazz,5,97930,19586,98.4,10,17026,87.0,15,17879,90.8
8,9,Trail Blazers,8,154283,19285,92.7,9,16975,90.0,17,18062,91.4
9,10,Clippers,10,191629,19162,100.5,6,17785,93.2,16,18646,97.8
10,11,Lakers,6,113982,18997,99.7,9,19059,99.9,15,19034,99.8
11,12,Spurs,9,165762,18418,99.1,8,17965,94.9,17,18205,97.1
12,13,Thunder,11,200233,18203,100.0,6,19244,99.4,17,18570,99.8
13,14,Celtics,10,178459,17845,95.8,6,15814,86.3,16,17084,92.3
14,15,Wizards,7,124556,17793,87.7,7,17279,89.8,14,17536,88.7
15,16,Rockets,11,194514,17683,98.0,5,17922,96.1,16,17757,97.4
16,17,Magic,9,157140,17460,92.6,7,17482,90.3,16,17470,91.6
17,18,Grizzlies,8,139060,17382,95.9,9,17959,94.6,17,17687,95.2
18,19,Suns,10,173034,17303,93.9,6,17088,90.7,16,17222,92.7
19,20,Kings,10,172554,17255,99.6,8,16518,86.9,18,16927,93.7
20,21,Pelicans,7,120040,17148,99.8,10,18826,97.3,17,18135,98.2
21,22,Hornets,10,162297,16229,85.1,7,18726,96.2,17,17257,89.7
22,23,Pistons,6,97245,16207,73.4,10,17419,92.0,16,16964,84.4
23,24,Pacers,8,128716,16089,88.6,7,17113,84.0,15,16567,86.3
24,25,Hawks,9,142327,15814,84.4,10,17541,92.8,19,16723,88.9
25,26,Nets,5,75147,15029,83.0,11,17250,92.3,16,16556,89.5
26,27,Bucks,8,117218,14652,78.3,9,16146,83.6,17,15443,81.1
27,28,76ers,7,99681,14240,70.1,10,17211,90.9,17,15988,81.9
28,29,Timberwolves,8,112751,14093,72.8,8,17552,92.5,16,15823,82.6
29,30,Nuggets,9,122566,13618,71.1,8,18473,99.7,17,15902,84.3
