,RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT
0,1,Dallas,6,551200,91866,114.8,5,351872,70374,99.4,11,903072,82097,108.3
1,2,NY Giants,5,393654,78730,9540.0,6,448289,74714,9550.0,11,841943,76540,9550.0
2,3,Green Bay,6,470527,78421,107.5,5,337306,67461,102.2,11,807833,73439,105.3
3,4,NY Jets,6,468960,78160,9470.0,5,342453,68490,10340.0,11,811413,73764,9820.0
4,5,Denver,4,307875,76968,101.1,6,391145,65190,97.3,10,699020,69902,98.9
5,6,Kansas City,5,384685,76937,10070.0,6,402778,67129,9850.0,11,787463,71587,9960.0
6,7,Washington,6,449104,74850,8810.0,5,365666,73133,9650.0,11,814770,74070,9170.0
7,8,Carolina,6,443865,73977,100.3,5,341721,68344,97.9,11,785586,71416,99.2
8,9,New Orleans,5,365127,73025,9550.0,6,418885,69814,9810.0,11,784012,71273,9690.0
9,10,Houston,6,430352,71725,10090.0,5,327875,65575,9560.0,11,758227,68929,9850.0
10,11,Baltimore,5,354787,70957,99.9,5,329748,65949,98.1,10,684535,68453,99.1
11,12,San Francisco,5,353995,70799,103.4,5,328850,65770,95.8,10,682845,68284,99.6
12,13,Atlanta,6,422165,70360,9880.0,5,375169,75033,9470.0,11,797334,72484,9680.0
13,14,Buffalo,5,351661,70332,9620.0,6,432042,72007,10070.0,11,783703,71245,9860.0
14,15,Miami,4,279221,69805,10690.0,7,489096,69870,9510.0,11,768317,69847,9900.0
15,16,Philadelphia,5,347080,69416,102.7,6,453909,75651,97.9,11,800989,72817,99.9
16,17,Seattle,5,345025,69005,103.0,5,357514,71502,101.5,10,702539,70253,102.2
17,18,Cleveland,4,269724,67431,92.1,6,394657,65776,93.8,10,664381,66438,93.1
18,19,New England,6,400974,66829,97.2,4,311699,77924,104.4,10,712673,71267,100.2
19,20,San Diego,6,398873,66478,9420.0,5,318719,63743,9680.0,11,717592,65235,9530.0
20,21,Indianapolis,6,396565,66094,10490.0,5,352540,70508,9850.0,11,749105,68100,10180.0
21,22,Pittsburgh,6,388919,64819,99.7,4,263285,65821,93.3,10,652204,65220,97.0
22,23,Jacksonville,6,387880,64646,9610.0,5,339925,67985,9680.0,11,727805,66164,9640.0
23,24,Arizona,5,319179,63835,100.7,5,323449,64689,97.7,10,642628,64262,99.1
24,25,Tennessee,6,378927,63154,9180.0,5,336202,67240,9500.0,11,715129,65011,9330.0
25,26,Chicago,5,311996,62399,101.5,6,407623,67937,97.6,11,719619,65419,99.2
26,27,Tampa Bay,5,308387,61677,9370.0,6,423452,70575,9710.0,11,731839,66530,9560.0
27,28,Cincinnati,6,368300,61383,9370.0,5,324558,64911,9610.0,11,692858,62987,9480.0
28,29,Detroit,6,366262,61043,94.6,4,265943,66485,101.8,10,632205,63220,97.5
29,30,Oakland,5,272413,54482,8630.0,6,381179,63529,9420.0,11,653592,59417,9070.0
30,31,St. Louis,5,265608,53121,8050.0,6,398571,66428,9670.0,11,664179,60379,8950.0
31,32,Minnesota,5,262134,52426,9980.0,6,395680,65946,9760.0,11,657814,59801,9850.0
