,RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
0,1,Chicago,11,238019,21638,109.7,13,16608,93.2,24,18913,101.2
1,2,Montreal,13,276744,21288,100.1,12,17972,99.0,25,19696,99.6
2,3,Detroit,14,280378,20027,100.0,10,18357,97.2,24,19331,98.9
3,4,Toronto,11,212147,19286,102.5,12,17459,93.8,23,18333,98.0
4,5,Calgary,10,191116,19111,99.1,14,16182,91.4,24,17403,94.7
5,6,Tampa Bay,12,229104,19092,100.0,13,17357,94.4,25,18190,97.2
6,7,Minnesota,12,228111,19009,105.9,10,16217,91.2,22,17740,99.2
7,8,Pittsburgh,13,240887,18529,100.8,10,17994,99.5,23,18296,100.2
8,9,Washington,14,259084,18506,100.0,9,17896,95.6,23,18267,98.3
9,10,St. Louis,11,203030,18457,96.4,13,17533,96.0,24,17957,96.2
10,11,Vancouver,10,183935,18393,97.3,14,17546,96.0,24,17899,96.5
11,12,Los Angeles,13,237242,18249,100.1,10,16710,91.5,23,17580,96.4
12,13,Dallas,12,217373,18114,97.7,12,17334,93.4,24,17724,95.6
13,14,Buffalo,14,252291,18020,94.5,10,14387,79.6,24,16506,88.5
14,15,NY Rangers,14,252084,18006,100.0,10,18690,100.1,24,18291,100.1
15,16,Ottawa,12,211762,17646,92.1,11,16968,91.0,23,17322,91.6
16,17,Philadelphia,12,211201,17600,90.1,12,17092,95.6,24,17346,92.7
17,18,Boston,12,210780,17565,100.0,10,16743,92.2,22,17191,96.4
18,19,Nashville,11,188486,17135,100.1,12,16303,90.5,23,16701,95.0
19,20,San Jose,10,165373,16537,94.2,13,16957,92.8,23,16775,93.4
20,21,Anaheim,12,195328,16277,94.8,12,15382,85.2,24,15829,89.9
21,22,Colorado,10,162181,16218,90.1,13,16516,90.8,23,16386,90.5
22,23,Winnipeg,10,152940,15294,101.9,15,17241,94.5,25,16462,97.1
23,24,Edmonton,10,151551,15155,90.0,14,17798,96.3,24,16697,93.8
24,25,Columbus,11,159067,14460,79.7,14,17491,95.6,25,16157,88.6
25,26,New Jersey,12,166098,13841,78.5,11,18158,96.9,23,15906,87.6
26,27,Arizona,10,129375,12937,75.5,13,16275,91.1,23,14824,84.5
27,28,NY Islanders,13,161922,12455,78.8,11,17700,94.4,24,14859,86.6
28,29,Florida,13,158938,12226,71.7,10,17730,94.8,23,14619,82.3
29,30,Carolina,12,132435,11036,59.1,11,17165,93.5,23,13967,75.4
