,RK,NAME,TEAM,SALARY
0,1,"Kobe Bryant, SF",Los Angeles Lakers,23500000.0
1,2,"Joe Johnson, SF",Brooklyn Nets,23180790.0
2,3,"Carmelo Anthony, SF",New York Knicks,22458401.0
3,4,"Dwight Howard, C",Houston Rockets,21436271.0
4,5,"Chris Bosh, PF",Miami Heat,20644400.0
5,6,"LeBron James, SF",Cleveland Cavaliers,20644400.0
6,7,"Chris Paul, PG",Los Angeles Clippers,20068563.0
7,8,"Deron Williams, PG",Brooklyn Nets,19754465.0
8,9,"Rudy Gay, SF",Sacramento Kings,19317326.0
9,10,"Kevin Durant, SF",Oklahoma City Thunder,18995624.0
10,11,"Derrick Rose, PG",Chicago Bulls,18862876.0
11,12,"Blake Griffin, PF",Los Angeles Clippers,17674613.0
12,13,"Zach Randolph, PF",Memphis Grizzlies,16500000.0
13,14,"LaMarcus Aldridge, PF",Portland Trail Blazers,16006000.0
14,15,"Paul George, SF",Indiana Pacers,15937290.0
15,16,"Marc Gasol, C",Memphis Grizzlies,15829688.0
16,17,"Kevin Love, PF",Cleveland Cavaliers,15719063.0
17,18,"Russell Westbrook, PG",Oklahoma City Thunder,15719062.0
18,19,"Brook Lopez, C",Brooklyn Nets,15719062.0
19,20,"David Lee, PF",Golden State Warriors,15012000.0
20,21,"Dwyane Wade, SG",Miami Heat,15000000.0
21,22,"Roy Hibbert, C",Indiana Pacers,14898938.0
22,23,"Eric Gordon, SG",New Orleans Pelicans,14898938.0
23,24,"Tyson Chandler, C",Dallas Mavericks,14846888.0
24,25,"John Wall, PG",Washington Wizards,14746000.0
25,26,"DeMarcus Cousins, PF",Sacramento Kings,14746000.0
26,27,"James Harden, SG",Houston Rockets,14728844.0
27,28,"Chandler Parsons, SF",Dallas Mavericks,14700000.0
28,29,"Al Jefferson, C",Charlotte Hornets,13500000.0
29,30,"Nene Hilario, C",Washington Wizards,13000000.0
30,31,"Eric Bledsoe, PG",Phoenix Suns,13000000.0
31,32,"Andrew Bogut, C",Golden State Warriors,12972973.0
32,33,"Derrick Favors, PF",Utah Jazz,12950000.0
33,34,"Rajon Rondo, PG",Dallas Mavericks,12909090.0
34,35,"Joakim Noah, C",Chicago Bulls,12700000.0
35,36,"Tony Parker, PG",San Antonio Spurs,12500000.0
36,37,"Serge Ibaka, PF",Oklahoma City Thunder,12350000.0
37,38,"Andre Iguodala, SF",Golden State Warriors,12289544.0
38,39,"Nikola Pekovic, C",Minnesota Timberwolves,12100000.0
39,40,"Kyle Lowry, PG",Toronto Raptors,12000000.0
