,Ranking,Teams,DIV,GP,W,L,OT,P,ROW,GF,GA,Diff,Home,Away,S/O,L10,Streak,Pct
0,1,Montréal,A,27,19,5,3,41,18,92,60,32,10-3-2,9-2-1,1-1,6-3-1,Lost 1,0.703703703704
1,2,Dallas,C,25,19,5,1,39,18,88,66,22,9-3-0,10-2-1,1-1,7-2-1,OT 1,0.76
2,3,Washington,M,24,18,5,1,37,17,78,53,25,10-3-1,8-2-0,1-0,8-1-1,Won 6,0.75
3,4,NY Rangers,M,27,17,7,3,37,16,76,57,19,11-4-1,6-3-2,1-2,4-5-1,Lost 1,0.62962962963
4,5,St. Louis,C,25,15,7,3,33,14,66,61,5,7-3-2,8-4-1,1-0,4-4-2,Lost 1,0.6
5,6,NY Islanders,M,26,14,8,4,32,13,74,63,11,9-4-2,5-4-2,1-2,6-3-1,Won 3,0.538461538462
6,7,Detroit,A,26,14,8,4,32,13,66,65,1,8-5-3,6-3-1,1-0,6-1-3,Won 2,0.538461538462
7,8,Los Angeles,P,24,15,8,1,31,14,60,51,9,9-5-0,6-3-1,1-1,6-3-1,Won 2,0.625
8,9,Pittsburgh,M,24,14,8,2,30,13,57,55,2,8-4-1,6-4-1,1-1,5-3-2,Won 1,0.583333333333
9,10,Nashville,C,24,13,7,4,30,11,64,62,2,8-2-2,5-5-2,2-1,4-4-2,Won 1,0.541666666667
10,11,Ottawa,A,24,12,7,5,29,9,78,72,6,5-4-4,7-3-1,3-3,5-3-2,Lost 2,0.5
11,12,Chicago,C,25,13,9,3,29,13,68,64,4,8-3-1,5-6-2,-,5-3-2,Lost 1,0.52
12,13,Boston,A,23,13,8,2,28,12,75,67,8,5-6-1,8-2-1,1-1,7-2-1,OT 1,0.565217391304
13,14,Minnesota,C,23,12,7,4,28,12,65,62,3,8-3-1,4-4-3,-,4-4-2,Won 1,0.521739130435
14,15,San Jose,P,24,14,10,0,28,13,67,63,4,4-7-0,10-3-0,1-0,7-3-0,Lost 1,0.583333333333
15,16,New Jersey,M,25,13,10,2,28,11,62,60,2,5-6-2,8-4-0,2-2,5-4-1,Won 1,0.52
16,17,Arizona,P,25,13,11,1,27,13,68,75,-7,6-4-0,7-7-1,-,5-5-0,Lost 2,0.52
17,18,Tampa Bay,A,26,12,11,3,27,11,61,59,2,6-5-1,6-6-2,1-2,5-4-1,Won 1,0.461538461538
18,19,Florida,A,24,11,9,4,26,9,63,60,3,6-5-2,5-4-2,2-1,6-3-1,Won 3,0.458333333333
19,20,Winnipeg,C,26,12,12,2,26,12,73,81,-8,6-4-1,6-8-1,0-1,4-6-0,Won 1,0.461538461538
20,21,Vancouver,P,26,9,9,8,26,8,70,71,-1,3-4-3,6-5-5,1-1,2-5-3,OT 1,0.346153846154
21,22,Philadelphia,M,25,10,10,5,25,9,49,67,-18,5-4-3,5-6-2,1-1,5-3-2,Won 3,0.4
22,23,Buffalo,A,25,10,12,3,23,9,58,67,-9,5-8-1,5-4-2,1-2,3-4-3,OT 1,0.4
23,24,Colorado,C,26,11,14,1,23,11,75,77,-2,3-6-1,8-8-0,-,5-5-0,Won 2,0.423076923077
24,25,Anaheim,P,26,9,12,5,23,8,52,67,-15,6-4-4,3-8-1,1-1,4-5-1,Lost 1,0.346153846154
25,26,Toronto,A,25,8,12,5,21,6,57,72,-15,4-5-3,4-7-2,2-4,5-4-1,Lost 1,0.32
26,27,Carolina,M,25,8,13,4,20,8,51,75,-24,4-6-3,4-7-1,0-1,2-4-4,Lost 3,0.32
27,28,Calgary,P,25,9,14,2,20,8,60,90,-30,6-5-0,3-9-2,1-1,4-5-1,Won 1,0.36
28,29,Columbus,M,26,10,16,0,20,10,61,78,-17,4-7-0,6-9-0,-,6-4-0,Lost 2,0.384615384615
29,30,Edmonton,P,26,9,15,2,20,7,65,79,-14,5-5-1,4-10-1,2-0,3-5-2,Won 1,0.346153846154
