,index,listing_count,avg_price,lowest_price_good_deal,lowest_price,highest_price,datetime_local,created_at,address,city,country,extended_address,venueid,venuename,postal_code,venuescore,venuestate,announce_date,short_title,datetime_utc,ticket_score,datetime_tbd,visible_until_utc,id,home_team,away_team,hometeamscore,awayteamscore,dateutc,timeutc,daysaway
0,0,1664.0,51.0,19.0,19.0,254.0,2015-11-29T12:00:00,2015-04-22T00:00:00,1 Arrowhead Drive,Kansas City,US,"Kansas City, MO 64129",1128,Arrowhead Stadium,64129,0.89481,MO,2015-04-22T00:00:00,Bills at Chiefs,2015-11-29T18:00:00,0.81597,False,2015-11-29T22:00:00,2594346,Kansas City Chiefs,Buffalo Bills,0.79483,0.79211,2015-11-29,18:00:00,1
1,1,4410.0,76.0,33.0,33.0,5775.0,2015-12-06T13:00:00,2015-04-22T00:00:00,1 Bills Drive,Orchard Park,US,"Orchard Park, NY 14127",1135,Ralph Wilson Stadium,14127,0.90079,NY,2015-04-22T00:00:00,Texans at Bills,2015-12-06T18:00:00,0.83961,False,2015-12-06T22:00:00,2594531,Buffalo Bills,Houston Texans,0.79211,0.8134,2015-12-06,18:00:00,8
2,2,3375.0,164.0,81.0,81.0,670.0,2015-12-13T13:00:00,2015-04-22T00:00:00,1020 Pattison Avenue,Philadelphia,US,"Philadelphia, PA 19148",330,Lincoln Financial Field,19148,0.91513,PA,2015-04-22T00:00:00,Bills at Eagles,2015-12-13T18:00:00,0.87164,False,2015-12-13T22:00:00,2594419,Philadelphia Eagles,Buffalo Bills,0.82966,0.79211,2015-12-13,18:00:00,15
3,3,7411.0,176.0,26.0,26.0,1063.0,2015-12-20T13:00:00,2015-04-22T00:00:00,1600 Fedex Way,Landover,US,"Landover, MD 20785",35,FedEx Field,20785,0.95056,MD,2015-04-22T00:00:00,Bills at Redskins,2015-12-20T18:00:00,0.89217,False,2015-12-20T22:00:00,2594356,Washington Redskins,Buffalo Bills,0.84241,0.79211,2015-12-20,18:00:00,22
4,4,3484.0,180.0,92.0,92.0,5775.0,2015-12-27T13:00:00,2015-04-22T00:00:00,1 Bills Drive,Orchard Park,US,"Orchard Park, NY 14127",1135,Ralph Wilson Stadium,14127,0.90079,NY,2015-04-22T00:00:00,Cowboys at Bills,2015-12-27T18:00:00,0.87252,False,2015-12-27T22:00:00,2594529,Buffalo Bills,Dallas Cowboys,0.79211,0.88222,2015-12-27,18:00:00,29
5,5,4967.0,87.0,32.0,32.0,5775.0,2016-01-03T13:00:00,2015-04-22T00:00:00,1 Bills Drive,Orchard Park,US,"Orchard Park, NY 14127",1135,Ralph Wilson Stadium,14127,0.90079,NY,2015-04-22T00:00:00,Jets at Bills,2016-01-03T18:00:00,0.84818,False,2016-01-03T22:00:00,2594532,Buffalo Bills,New York Jets,0.79211,0.84751,2016-01-03,18:00:00,36
6,6,1367.0,89.0,38.0,38.0,799.0,2015-11-29T13:00:00,2015-04-22T00:00:00,1 MetLife Stadium Drive,East Rutherford,US,"East Rutherford, NJ 07073",1587,MetLife Stadium,07073,0.96016,NJ,2015-04-22T00:00:00,Dolphins at Jets,2015-11-29T18:00:00,0.86621,False,2015-11-29T22:00:00,2594509,New York Jets,Miami Dolphins,0.84751,0.80367,2015-11-29,18:00:00,1
7,7,1622.0,184.0,63.0,63.0,1841.0,2015-12-06T13:00:00,2015-04-22T00:00:00,2269 NW 199th St,Miami Gardens,US,"Miami Gardens, FL 33056",29,Sun Life Stadium,33056,0.84595,FL,2015-04-22T00:00:00,Ravens at Dolphins,2015-12-06T18:00:00,0.82716,False,2015-12-06T22:00:00,2594468,Miami Dolphins,Baltimore Ravens,0.80367,0.79878,2015-12-06,18:00:00,8
8,8,1403.0,406.5,134.0,134.0,1391.0,2015-12-14T20:30:00,2015-04-22T00:00:00,2269 NW 199th St,Miami Gardens,US,"Miami Gardens, FL 33056",29,Sun Life Stadium,33056,0.84595,FL,2015-04-22T00:00:00,Giants at Dolphins,2015-12-15T01:30:00,0.85204,False,2015-12-15T05:30:00,2594469,Miami Dolphins,New York Giants,0.80367,0.85936,2015-12-15,01:30:00,17
9,9,4614.0,154.0,47.0,47.0,1213.0,2015-12-20T13:25:00,2015-04-22T00:00:00,9449 Friars Road,San Diego,US,"San Diego, CA 92108",1134,Qualcomm Stadium,92108,0.90643,CA,2015-04-22T00:00:00,Dolphins at Chargers,2015-12-20T21:25:00,0.86945,False,2015-12-21T01:25:00,2594374,San Diego Chargers,Miami Dolphins,0.83726,0.80367,2015-12-20,21:25:00,22
10,10,1917.0,220.0,69.0,69.0,1630.0,2015-12-27T13:00:00,2015-04-22T00:00:00,2269 NW 199th St,Miami Gardens,US,"Miami Gardens, FL 33056",29,Sun Life Stadium,33056,0.84595,FL,2015-04-22T00:00:00,Colts at Dolphins,2015-12-27T18:00:00,0.83209,False,2015-12-27T22:00:00,2594326,Miami Dolphins,Indianapolis Colts,0.80367,0.7948,2015-12-27,18:00:00,29
11,11,817.0,450.0,209.0,209.0,2315.0,2016-01-03T13:00:00,2015-04-22T00:00:00,2269 NW 199th St,Miami Gardens,US,"Miami Gardens, FL 33056",29,Sun Life Stadium,33056,0.84595,FL,2015-04-22T00:00:00,Patriots at Dolphins,2016-01-03T18:00:00,0.83669,False,2016-01-03T22:00:00,2594472,Miami Dolphins,New England Patriots,0.80367,0.84576,2016-01-03,18:00:00,36
12,13,434.0,242.0,116.0,116.0,915.0,2015-11-29T18:30:00,2015-04-22T00:00:00,1701 Bryant St.,Denver,US,"Denver, CO 80204",1131,Sports Authority Field at Mile High,80204,0.91152,CO,2015-04-22T00:00:00,Patriots at Broncos,2015-11-30T01:30:00,0.85393,False,2015-11-30T05:30:00,2594496,Denver Broncos,New England Patriots,0.82325,0.84576,2015-11-30,01:30:00,2
13,15,649.0,557.0,302.0,302.0,5684.0,2015-12-06T16:25:00,2015-04-22T00:00:00,1 Patriot Place,Foxborough,US,"Foxborough, MA 02035",33,Gillette Stadium,02035,0.90237,MA,2015-04-22T00:00:00,Eagles at Patriots,2015-12-06T21:25:00,0.85612,False,2015-12-07T01:25:00,2594477,New England Patriots,Philadelphia Eagles,0.84576,0.82966,2015-12-06,21:25:00,8
