,listing_count,avg_price,lowest_price_good,lowest_price,highest_price,city,venuename,venuescore,ticket_score,id,home_team,away_team,hometeamscore,awayteamscore,dateutc,daysaway,dateloaded,cntStars_home,WPCT_home,STRK_home,rankNBA_home,cntStars_away,WPCT_away,STRK_away,rankNBA_away,HomeAVG,HomePCT,AwayAVG,AwayPCT,TotalAVG,TotalPCT,Population,numTeams,holiday,weekday,dateutcindateform
0,815.0,62.0,20.0,20.0,1800.0,Miami,American Airlines Arena,0.85776,0.78884,2759732,Miami Heat,Boston Celtics,0.78556,0.74908,2015-12-01,2,2015-11-29,2,0.667,1.0,5,0,0.563,2.0,12,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2015-12-01
1,3431.0,146.0,49.0,49.0,6505.0,Miami,American Airlines Arena,0.85776,0.84152,2759651,Miami Heat,Brooklyn Nets,0.78556,0.75524,2015-12-29,30,2015-11-29,2,0.667,1.0,5,3,0.188,-2.0,28,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2015-12-29
2,4093.0,76.0,18.0,18.0,4435.0,Miami,American Airlines Arena,0.85776,0.82779,2759635,Miami Heat,Brooklyn Nets,0.78556,0.75524,2016-03-28,120,2015-11-29,2,0.667,1.0,5,3,0.188,-2.0,28,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Monday,2016-03-28
3,3886.0,125.0,36.0,36.0,5914.0,Miami,American Airlines Arena,0.85776,0.84336,2759767,Miami Heat,New York Knicks,0.78556,0.81215,2016-01-07,39,2015-11-29,2,0.667,1.0,5,1,0.471,-3.0,19,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Thursday,2016-01-07
4,4046.0,78.0,20.0,20.0,4140.0,Miami,American Airlines Arena,0.85776,0.83536,2759683,Miami Heat,Philadelphia 76ers,0.78556,0.70023,2016-03-06,98,2015-11-29,2,0.667,1.0,5,0,0.0,-17.0,30,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-03-06
5,3483.0,100.0,32.0,32.0,4731.0,Miami,American Airlines Arena,0.85776,0.82222,2759671,Miami Heat,Toronto Raptors,0.78556,0.68539,2015-12-19,20,2015-11-29,2,0.667,1.0,5,1,0.647,4.0,7,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2015-12-19
6,3838.0,141.0,33.0,33.0,5914.0,Miami,American Airlines Arena,0.85776,0.84987,2759649,Miami Heat,Chicago Bulls,0.78556,0.76158,2016-03-02,94,2015-11-29,2,0.667,1.0,5,2,0.643,-1.0,8,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2016-03-02
7,4050.0,142.0,39.0,39.0,7688.0,Miami,American Airlines Arena,0.85776,0.8489,2759652,Miami Heat,Chicago Bulls,0.78556,0.76158,2016-04-08,131,2015-11-29,2,0.667,1.0,5,2,0.643,-1.0,8,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Friday,2016-04-08
8,3049.0,217.5,79.0,79.0,8870.0,Miami,American Airlines Arena,0.85776,0.87277,2759681,Miami Heat,Cleveland Cavaliers,0.78556,0.64462,2015-12-06,7,2015-11-29,2,0.667,1.0,5,2,0.765,2.0,3,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2015-12-06
9,4098.0,271.0,100.0,100.0,10053.0,Miami,American Airlines Arena,0.85776,0.87339,2759656,Miami Heat,Cleveland Cavaliers,0.78556,0.64462,2016-03-19,111,2015-11-29,2,0.667,1.0,5,2,0.765,2.0,3,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2016-03-19
10,3798.0,95.0,30.0,30.0,4435.0,Miami,American Airlines Arena,0.85776,0.82875,2759687,Miami Heat,Detroit Pistons,0.78556,0.63675,2015-12-23,24,2015-11-29,2,0.667,1.0,5,0,0.5,-1.0,17,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2015-12-23
11,4183.0,75.0,15.0,15.0,4140.0,Miami,American Airlines Arena,0.85776,0.8147,2759686,Miami Heat,Detroit Pistons,0.78556,0.63675,2016-04-05,128,2015-11-29,2,0.667,1.0,5,0,0.5,-1.0,17,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2016-04-05
12,3390.0,92.5,25.0,25.0,4140.0,Miami,American Airlines Arena,0.85776,0.81682,2759637,Miami Heat,Indiana Pacers,0.78556,0.67765,2016-01-05,37,2015-11-29,2,0.667,1.0,5,2,0.667,4.0,4,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2016-01-05
13,4190.0,71.0,14.0,14.0,4140.0,Miami,American Airlines Arena,0.85776,0.81419,2759647,Miami Heat,Indiana Pacers,0.78556,0.67765,2016-02-23,86,2015-11-29,2,0.667,1.0,5,2,0.667,4.0,4,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2016-02-23
14,4061.0,67.0,18.0,18.0,3548.0,Miami,American Airlines Arena,0.85776,0.83163,2759664,Miami Heat,Milwaukee Bucks,0.78556,0.63561,2016-01-20,52,2015-11-29,2,0.667,1.0,5,0,0.353,-3.0,25,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2016-01-20
15,3605.0,89.0,22.0,22.0,4140.0,Miami,American Airlines Arena,0.85776,0.80844,2759634,Miami Heat,Atlanta Hawks,0.78556,0.68801,2016-01-31,63,2015-11-29,2,0.667,1.0,5,0,0.579,-1.0,11,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-01-31
16,4087.0,76.0,15.0,15.0,4140.0,Miami,American Airlines Arena,0.85776,0.80312,2759853,Miami Heat,Charlotte Hornets,0.78556,0.6621,2016-03-17,109,2015-11-29,2,0.667,1.0,5,1,0.588,1.0,10,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Thursday,2016-03-17
17,3104.0,113.0,33.0,33.0,4731.0,Miami,American Airlines Arena,0.85776,0.82972,2759684,Miami Heat,Oklahoma City Thunder,0.78556,0.70262,2015-12-04,5,2015-11-29,2,0.667,1.0,5,3,0.647,4.0,6,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Friday,2015-12-04
18,3317.0,70.0,14.0,14.0,3548.0,Miami,American Airlines Arena,0.85776,0.81002,2759657,Miami Heat,Washington Wizards,0.78556,0.71492,2015-12-08,9,2015-11-29,2,0.667,1.0,5,2,0.429,-4.0,21,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2015-12-08
19,3909.0,112.0,27.0,27.0,4435.0,Miami,American Airlines Arena,0.85776,0.83469,2759679,Miami Heat,Washington Wizards,0.78556,0.71492,2016-02-21,84,2015-11-29,2,0.667,1.0,5,2,0.429,-4.0,21,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-02-21
20,3363.0,92.0,27.0,27.0,4140.0,Miami,American Airlines Arena,0.85776,0.81584,2759667,Miami Heat,Memphis Grizzlies,0.78556,0.6739,2015-12-13,14,2015-11-29,2,0.667,1.0,5,2,0.529,-1.0,14,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2015-12-13
21,3908.0,92.0,29.0,29.0,4435.0,Miami,American Airlines Arena,0.85776,0.81833,2759979,Miami Heat,Portland Trail Blazers,0.78556,0.68068,2015-12-20,21,2015-11-29,2,0.667,1.0,5,1,0.412,1.0,22,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2015-12-20
22,3228.0,136.0,46.0,46.0,5914.0,Miami,American Airlines Arena,0.85776,0.84441,2759661,Miami Heat,New Orleans Pelicans,0.78556,0.6474,2015-12-25,26,2015-11-29,2,0.667,1.0,5,1,0.235,-2.0,27,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,1,Friday,2015-12-25
23,3210.0,225.0,69.0,69.0,10053.0,Miami,American Airlines Arena,0.85776,0.83816,2759662,Miami Heat,Dallas Mavericks,0.78556,0.72552,2016-01-02,34,2015-11-29,2,0.667,1.0,5,3,0.588,1.0,9,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2016-01-02
