,0
0,2759767
1,2759671
2,2759649
3,2759652
4,2759681
5,2759656
6,2759687
7,2759686
8,2759637
9,2759647
10,2759639
11,2759646
12,2759657
13,2759679
14,2759648
15,2759684
16,2759979
17,2760131
18,2759689
19,2759645
20,2759662
21,2759667
22,2759661
23,2759651
24,2759635
25,2759683
26,2759664
27,2759853
28,2759682
29,2759634
30,2759759
31,2759826
32,2759097
33,2759395
34,2759239
35,2759435
36,2759211
37,2759673
38,2759130
39,2759488
40,2759346
41,2759288
42,2759119
43,2759124
44,2759957
45,2759125
46,2759107
47,2760143
48,2760140
49,2759106
50,2759128
51,2759108
52,2759122
53,2759098
54,2760043
55,2759536
56,2759163
57,2759149
58,2759133
59,2759116
60,2759117
61,2759738
62,2759807
63,2759047
64,2759391
65,2759249
66,2759431
67,2759198
68,2759669
69,2759499
70,2759336
71,2759279
72,2759295
73,2759050
74,2759966
75,2759969
76,2759093
77,2759095
78,2759060
79,2759061
80,2759046
81,2759062
82,2759044
83,2760049
84,2760038
85,2759525
86,2759154
87,2759152
88,2759049
89,2759045
90,2759625
91,2759048
92,2759901
93,2759126
94,2759887
95,2759898
96,2759882
97,2759895
98,2759861
99,2759904
100,2759875
101,2759858
102,2759885
103,2759852
104,2759851
105,2759868
106,2759855
107,2759891
108,2759834
109,2759890
110,2759877
111,2759849
112,2759879
113,2759884
114,2759856
115,2759872
116,2759894
117,2759871
118,2759897
119,2759859
120,2759899
121,2759881
122,2759886
123,2759857
124,2759747
125,2759829
126,2759817
127,2758942
128,2758945
129,2759245
130,2759251
131,2759446
132,2759205
133,2759206
134,2759641
135,2759644
136,2758943
137,2758944
138,2759500
139,2759494
140,2759350
141,2759292
142,2759034
143,2759980
144,2759087
145,2760127
146,2758947
147,2760039
148,2759550
149,2759171
150,2758946
151,2759064
152,2759615
153,2759609
154,2758989
155,2759864
156,2759866
157,2759118
158,2759769
159,2759780
160,2759796
161,2759771
162,2759772
163,2759794
164,2759823
165,2759793
166,2759789
167,2759799
168,2759792
169,2759788
170,2759774
171,2759777
172,2759824
173,2759795
174,2759785
175,2759978
176,2759768
177,2760135
178,2759800
179,2759775
180,2760058
181,2759776
182,2759827
183,2759770
184,2759787
185,2759781
186,2759802
187,2759888
188,2759798
189,2759755
190,2759822
191,2759805
192,2759358
193,2759362
194,2759371
195,2759432
196,2759438
197,2759359
198,2759638
199,2759642
200,2759456
201,2759495
202,2759967
203,2759370
204,2760132
205,2759373
206,2759376
207,2759360
208,2760055
209,2759531
210,2759368
211,2759372
212,2759378
213,2759369
214,2759356
215,2759622
216,2759616
217,2759366
218,2759357
219,2759841
220,2759361
221,2759367
222,2759742
223,2759804
224,2758927
225,2759388
226,2759433
227,2759207
228,2759692
229,2758937
230,2759484
231,2759339
232,2759337
233,2759296
234,2759271
235,2759033
236,2759958
237,2759092
238,2760136
239,2758928
240,2758922
241,2758930
242,2759007
243,2759012
244,2760054
245,2760042
246,2759553
247,2759153
248,2759058
249,2759053
250,2758985
251,2759847
252,2759110
253,2759109
254,2759745
255,2759757
256,2759808
257,2759483
258,2759462
259,2759463
260,2759459
261,2759461
262,2759477
263,2759480
264,2759670
265,2759688
266,2759469
267,2759474
268,2759479
269,2759956
270,2759457
271,2760119
272,2759460
273,2759475
274,2760045
275,2759533
276,2759478
277,2759466
278,2759467
279,2759473
280,2759608
281,2759619
282,2759465
283,2759906
284,2759848
285,2759476
286,2759458
287,2759748
288,2759803
289,2759527
290,2759530
291,2759551
292,2759555
293,2759660
294,2759528
295,2759541
296,2759540
297,2759547
298,2759523
299,2759518
300,2759521
301,2759972
302,2759539
303,2760125
304,2760122
305,2759546
306,2759515
307,2759516
308,2760037
309,2760051
310,2759557
311,2759524
312,2759526
313,2759522
314,2759545
315,2759563
316,2759607
317,2759554
318,2759517
319,2759548
320,2759506
321,2759741
322,2759735
323,2759797
324,2759382
325,2759383
326,2759250
327,2759436
328,2759208
329,2759678
330,2759658
331,2758939
332,2759497
333,2759502
334,2759347
335,2759285
336,2759036
337,2759968
338,2759091
339,2760137
340,2758921
341,2758920
342,2760041
343,2759558
344,2759173
345,2758929
346,2758949
347,2758953
348,2759627
349,2759624
350,2758982
351,2759893
352,2759873
353,2759115
354,2758970
355,2758968
356,2759752
357,2759734
358,2759833
359,2759813
360,2759602
361,2759578
362,2759595
363,2759594
364,2759587
365,2759586
366,2759691
367,2759576
368,2759598
369,2759600
370,2759574
371,2759592
372,2759599
373,2759977
374,2760118
375,2759580
376,2759596
377,2760056
378,2759581
379,2759590
380,2759601
381,2759593
382,2759577
383,2759572
384,2759908
385,2759903
386,2759582
387,2759584
388,2759589
389,2759736
390,2759398
391,2759385
392,2759243
393,2759240
394,2759445
395,2759210
396,2759201
397,2759653
398,2759654
