,0
0,2759732
1,2759651
2,2759635
3,2759767
4,2759683
5,2759671
6,2759649
7,2759652
8,2759681
9,2759656
10,2759687
11,2759686
12,2759637
13,2759664
14,2759634
15,2759853
16,2759684
17,2759657
18,2759679
19,2759667
20,2759979
21,2759661
22,2759662
23,2759689
24,2759682
25,2760131
26,2759645
27,2759648
28,2759639
29,2759646
30,2759759
31,2759826
32,2759395
33,2759239
34,2759211
35,2759113
36,2759119
37,2759124
38,2759488
39,2759133
40,2759957
41,2759116
42,2759536
43,2759106
44,2760143
45,2760140
46,2759098
47,2759346
48,2759130
49,2759673
50,2759288
51,2759125
52,2759107
53,2759108
54,2759122
55,2760043
56,2759163
57,2759149
58,2759738
59,2759045
60,2759625
61,2759047
62,2759391
63,2759249
64,2759431
65,2759198
66,2759048
67,2759901
68,2759050
69,2759499
70,2759049
71,2759966
72,2759969
73,2759525
74,2759060
75,2759061
76,2759126
77,2759044
78,2759336
79,2759279
80,2759295
81,2759093
82,2759095
83,2759046
84,2760049
85,2760038
86,2759154
87,2759152
88,2759887
89,2759859
90,2759882
91,2759895
92,2759861
93,2759904
94,2759875
95,2759858
96,2759885
97,2759881
98,2759857
99,2759877
100,2759891
101,2759871
102,2759897
103,2759879
104,2759886
105,2760142
106,2759856
107,2759834
108,2759868
109,2759855
110,2759852
111,2759890
112,2759849
113,2759884
114,2759894
115,2759753
116,2759746
117,2759412
118,2759814
119,2759617
120,2759603
121,2759417
122,2759425
123,2759407
124,2759428
125,2759414
126,2759423
127,2759413
128,2759406
129,2759900
130,2759422
131,2759503
132,2759981
133,2759419
134,2759534
135,2759430
136,2759409
137,2759421
138,2759410
139,2759408
140,2759668
141,2759426
142,2759416
143,2760034
144,2759427
145,2759747
146,2759829
147,2759817
148,2759615
149,2759609
150,2758942
151,2759245
152,2759251
153,2759446
154,2759205
155,2759206
156,2758989
157,2759864
158,2759034
159,2759500
160,2759494
161,2758946
162,2759980
163,2759064
164,2759550
165,2758947
166,2759118
167,2760127
168,2759006
169,2759350
170,2758943
171,2758944
172,2759641
173,2759644
174,2759292
175,2759087
176,2760039
177,2759171
178,2759769
179,2759780
180,2759770
