,0
0,2759651
1,2759635
2,2759767
3,2759683
4,2759671
5,2759649
6,2759652
7,2759687
8,2759686
9,2759637
10,2759647
11,2759664
12,2759853
13,2759657
14,2759679
15,2759648
16,2759979
17,2759689
18,2759645
19,2759662
20,2759667
21,2759682
22,2760131
23,2759656
24,2759634
25,2759639
26,2759646
27,2759826
28,2759097
29,2759435
30,2759211
31,2759673
32,2759346
33,2759288
34,2759119
35,2759124
36,2759957
37,2759125
38,2759107
39,2759106
40,2759128
41,2759108
42,2759122
43,2759098
44,2760043
45,2759536
46,2759163
47,2759149
48,2759133
49,2760143
50,2760140
51,2759239
52,2759130
53,2759116
54,2759117
55,2759738
56,2759045
57,2759807
58,2759047
59,2759391
60,2759431
61,2759048
62,2759901
63,2759669
64,2759499
65,2759336
66,2759279
67,2759295
68,2759050
69,2759966
70,2759969
71,2759093
72,2759095
73,2759060
74,2759061
75,2759046
76,2759062
77,2759044
78,2760049
79,2760038
80,2759154
81,2759152
82,2759049
83,2759126
84,2759887
85,2759898
86,2759859
87,2759882
88,2759899
89,2759895
90,2759861
91,2759875
92,2759858
93,2759885
94,2759881
95,2759852
96,2759851
97,2759891
98,2759834
99,2759890
100,2759877
101,2759849
102,2759884
103,2759856
104,2759872
105,2759894
106,2759871
107,2759886
108,2759904
109,2759857
110,2759868
111,2759855
112,2759897
113,2759753
114,2759746
115,2759404
116,2759412
117,2759814
118,2759617
119,2759603
120,2759417
121,2759425
122,2759428
123,2759423
124,2759900
125,2759668
126,2759503
127,2759421
128,2759426
129,2759422
130,2759981
131,2759415
132,2759416
133,2760034
134,2759534
135,2759418
136,2759430
137,2760134
138,2759429
139,2759413
140,2759406
141,2759410
142,2759408
143,2759419
144,2759747
145,2759829
146,2759817
147,2759615
148,2759609
149,2758942
150,2758945
151,2759446
152,2759206
153,2758989
154,2759864
155,2759866
156,2759641
157,2759644
158,2759500
159,2759494
160,2759350
161,2759034
162,2759980
163,2759087
164,2758947
165,2760039
166,2759550
167,2759171
168,2758946
169,2759118
170,2759245
171,2759251
172,2758944
173,2759064
174,2759769
175,2759787
176,2759781
177,2759796
178,2759771
179,2759772
180,2759794
181,2759793
182,2759789
183,2759799
184,2759802
185,2759888
186,2759792
187,2759777
188,2759824
189,2759795
190,2759785
191,2759978
192,2759768
193,2759800
194,2759775
195,2759776
196,2759827
197,2760135
198,2759823
199,2759788
200,2759774
201,2759755
202,2759356
203,2759822
204,2759622
205,2759616
206,2759362
207,2759432
208,2759438
209,2759359
210,2759366
211,2759357
212,2759638
213,2759456
214,2759495
215,2759967
216,2759370
217,2759373
218,2759376
219,2759360
220,2760055
221,2759531
222,2759368
223,2759372
224,2760132
225,2759371
226,2759361
227,2759367
228,2759378
229,2759742
230,2759804
231,2759388
232,2759433
233,2759207
234,2758985
235,2759692
236,2759484
237,2759337
238,2759296
239,2759271
240,2759033
241,2759958
242,2759092
243,2758928
244,2758922
245,2758930
246,2759012
247,2760054
248,2760042
249,2759553
250,2759153
251,2759109
252,2760136
253,2758937
254,2759058
255,2759053
256,2759745
257,2759757
258,2759473
259,2759808
260,2759483
261,2759462
262,2759461
263,2759477
264,2759480
265,2759465
266,2759906
