,0
0,2759301
1,2759404
2,2759736
3,2759201
4,2758945
5,2759097
6,2759972
7,2759898
8,2759086
9,2759115
10,2759654
11,2759670
12,2759189
13,2759866
14,2759269
15,2760047
16,2759128
17,2760134
18,2759970
19,2759479
20,2759246
21,2759807
22,2759127
23,2760014
24,2759011
25,2760005
26,2760050
27,2759638
28,2759872
29,2759172
30,2759492
31,2758953
32,2758968
33,2759810
34,2759429
35,2759669
36,2760071
37,2760051
38,2760025
39,2759851
40,2760113
41,2759629
42,2759804
43,2759899
44,2760031
45,2758970
46,2759665
47,2759221
48,2760119
49,2759390
50,2759062
51,2758972
52,2759838
53,2760000
54,2758983
55,2759142
56,2759323
57,2759052
58,2759706
59,2759418
60,2759029
61,2759136
62,2759415
63,2758969
64,2759557
65,2759867
66,2759489
67,2759581
68,2759563
69,2759592
70,2759842
71,2759435
72,2759716
73,2759307
74,2759715
75,2759647
76,2759007
77,2760033
78,2759117
79,2759988
