,0
0,2759953
1,2760122
2,2758992
3,2759144
4,2759156
5,2759867
6,2759698
7,2759976
8,2759598
9,2759187
10,2759285
11,2759085
12,2759147
13,2759558
14,2759339
15,2759805
16,2759246
17,2759735
18,2759141
19,2759019
20,2758979
21,2759488
22,2759642
23,2759595
24,2758917
25,2759398
26,2759952
27,2759214
28,2758968
29,2759298
30,2760072
31,2759292
32,2759448
33,2759842
34,2759198
35,2759485
36,2759736
37,2760086
38,2759910
39,2759395
40,2759002
41,2758952
42,2759798
43,2759528
44,2758939
45,2759407
46,2759995
47,2759608
48,2759610
49,2758958
50,2758943
51,2759846
52,2759358
53,2759879
54,2759913
55,2759612
56,2759847
57,2758927
58,2760075
59,2759459
60,2759205
61,2759256
62,2760037
63,2759661
64,2759315
65,2759625
66,2760058
67,2759949
68,2759715
69,2759780
70,2759445
71,2759369
72,2759231
73,2759525
74,2759765
75,2759696
76,2760007
77,2759051
78,2759619
79,2759304
