,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,2759249,2759347,2759895,2759358,2759476,2759717,2759628,2759871,2758932,2759395,2760016,2759227,2759713,2758952,2759185,2759226,2759747,2759870,2759931,2759828,2759584,2759381,2759035,2760003,2759703,2759656,2759178,2759750,2759585,2759622
1,2759668,2759552,2759070,2759757,2759423,2759295,2759222,2759688,2759661,2759584,2759113,2759885,2759460,2759630,2759449,2758935,2759839,2759004,2759955,2759525,2759465,2759046,2759095,2759909,2759788,2759817,2759216,2760125,2759787,2759790
2,2759375,2759431,2759346,2758924,2758971,2759074,2759119,2759073,2759270,2759657,2759888,2759901,2759589,2759453,2759855,2759262,2759618,2759078,2759282,2759067,2759747,2759130,2759992,2759711,2759608,2759593,2759678,2760142,2759717,2759200
3,2759875,2760066,2759281,2759521,2758952,2758978,2759464,2759451,2759015,2759394,2758982,2759346,2760016,2758915,2759886,2759620,2759378,2759979,2759083,2759055,2759292,2758924,2758920,2759540,2759556,2759098,2759304,2759445,2759906,2759219
4,2759525,2759693,2759548,2760037,2759058,2760001,2759890,2759907,2759887,2759556,2758921,2759451,2759209,2759926,2759109,2759448,2759180,2760136,2759267,2759977,2759293,2759053,2758999,2759957,2759010,2760078,2759265,2759969,2759460,2759846
5,2759083,2759652,2759155,2759627,2759794,2759921,2758992,2759140,2759122,2759205,2759413,2759919,2759886,2759922,2759897,2759750,2759271,2759748,2759999,2759819,2760029,2759033,2759267,2759339,2759082,2759721,2760043,2759566,2759214,2759618
6,2759197,2759112,2759140,2759455,2760087,2760093,2759188,2759726,2759948,2758920,2760114,2759648,2760129,2759551,2759398,2759388,2759019,2759085,2760124,2760070,2760125,2759477,2759314,2759959,2759003,2759636,2759657,2759049,2759558,2759761
7,2759587,2759367,2759502,2759927,2759590,2759699,2759407,2760044,2759547,2759593,2759398,2759897,2760060,2759275,2759396,2759355,2759828,2759210,2759024,2759388,2760075,2759491,2759627,2759205,2759725,2759873,2759139,2759272,2758923,2759108
8,2759615,2759145,2759619,2759399,2759336,2759798,2759099,2759673,2759979,2759322,2759141,2758928,2758965,2759340,2759798,2759207,2759856,2759726,2759102,2759980,2759257,2759218,2759145,2758992,2759394,2760043,2759891,2759533,2759449,2759399
9,2759599,2759423,2759257,2759622,2760137,2760055,2759766,2759873,2759460,2759396,2759794,2759366,2759620,2759464,2759465,2760106,2760053,2760129,2759627,2760004,2759407,2759360,2759620,2759088,2759952,2759625,2759408,2759774,2759774,2759888
10,2760070,2759144,2759888,2760052,2759884,2759243,2759839,2759202,2759262,2759292,2759609,2759816,2760066,2760094,2759268,2758955,2759823,2759096,2759846,2759391,2760046,2759288,2759067,2759708,2759033,2759555,2759095,2759378,2759320,2759119
11,2759417,2759501,2759657,2759541,2759467,2760028,2759373,2759203,2759332,2759457,2760123,2759525,2759036,2759293,2759314,2759641,2759862,2759641,2758964,2758980,2760066,2759200,2759757,2759908,2759634,2759257,2759433,2759060,2759502,2759175
12,2759577,2758947,2759207,2758973,2759422,2759378,2758962,2759240,2759856,2759644,2759699,2759515,2759514,2759211,2759058,2760075,2759802,2759620,2760038,2759413,2760101,2759338,2759410,2759413,2759502,2759662,2759259,2759386,2759630,2759793
13,2759206,2759302,2759724,2759048,2759356,2759124,2759488,2759620,2758982,2759459,2758927,2759270,2759855,2759877,2759552,2759787,2759517,2759412,2759285,2760042,2760129,2759318,2759507,2759526,2759871,2759375,2759232,2759693,2760068,2759913
14,2759574,2759963,2759915,2759122,2759385,2758991,2759497,2760087,2759466,2758957,2759072,2759947,2759562,2759562,2759789,2759225,2759813,2759401,2759942,2759028,2759941,2759252,2760044,2759598,2759024,2759947,2759016,2759721,2758947,2759112
15,2759233,2760101,2759852,2759601,2759530,2758973,2759319,2760096,2759092,2759476,2759077,2759383,2759378,2760029,2759652,2759064,2759421,2759553,2759817,2758928,2759608,2759186,2759778,2759702,2760101,2759187,2760054,2760003,2759163,2759176
16,2760078,2759478,2759058,2758923,2759010,2758923,2760019,2758990,2758920,2759452,2759615,2759014,2759459,2759375,2760055,2759792,2759010,2759369,2760129,2759336,2759935,2759980,2759792,2760043,2759317,2759160,2758937,2759251,2759296,2758986
17,2759362,2759855,2759245,2759110,2760079,2759794,2759437,2759130,2759109,2758999,2760007,2759348,2759917,2759337,2759509,2759819,2758955,2759673,2758922,2759178,2759968,2759948,2759546,2759510,2760111,2759431,2760141,2759270,2759547,2759822
18,2759013,2759096,2759609,2758960,2759158,2759987,2759215,2759893,2760002,2759862,2759895,2759162,2758997,2759973,2759321,2759923,2759130,2759469,2759106,2759660,2759169,2759787,2759891,2759574,2759937,2760077,2759467,2759702,2759367,2759734
19,2759998,2759218,2758989,2759578,2759679,2759856,2759187,2759135,2759342,2759543,2759130,2759034,2759622,2759864,2759956,2759589,2759455,2759843,2758962,2759571,2759176,2758915,2760052,2759999,2759171,2759338,2760042,2760042,2759723,2760003
20,2759166,2760073,2759318,2759646,2758980,2759413,2759332,2759790,2759564,2760080,2759465,2759837,2759968,2759610,2759157,2759526,2759642,2759511,2759320,2760013,2759861,2759759,2759257,2759741,2759999,2759360,2759681,2759369,2759155,2759695
21,2759202,2759003,2759134,2759248,2759065,2759067,2760039,2758978,2759194,2759646,2759480,2759834,2759010,2759138,2759877,2760007,2759168,2759663,2759792,2759824,2759455,2759039,2759311,2759887,2760021,2759476,2759948,2759413,2759874,2759292
22,2759456,2759148,2759202,2759451,2759789,2760003,2759600,2759879,2759658,2759871,2759354,2759495,2759359,2760055,2759883,2759261,2758982,2759186,2759778,2760026,2759525,2759833,2759730,2758971,2759278,2759053,2759651,2759085,2758998,2759227
23,2760016,2759446,2758981,2760073,2758994,2760132,2760046,2759965,2759003,2759948,2759661,2759282,2759948,2759359,2760040,2759662,2759868,2759219,2759139,2760008,2759370,2758955,2759195,2759671,2759936,2759130,2759039,2759268,2759607,2759226
24,2759266,2760123,2760088,2759983,2759687,2760038,2759833,2759002,2759232,2759935,2759053,2759554,2759619,2759252,2758946,2759441,2759266,2760121,2759478,2759015,2760104,2758995,2759927,2759525,2759615,2759795,2760135,2759348,2759408,2759987
25,2759818,2759510,2759766,2760087,2759615,2759608,2759305,2759494,2759440,2759798,2759935,2759461,2759171,2759046,2759305,2759993,2759590,2759861,2758942,2759503,2759630,2759877,2759533,2759361,2759382,2759727,2759183,2759771,2759528,2759098
26,2760085,2759461,2758995,2759134,2760049,2759691,2759910,2759054,2759480,2759656,2759954,2760122,2759634,2759746,2759067,2759702,2759608,2759886,2759214,2759493,2759702,2760079,2760087,2759348,2759503,2759475,2758973,2758961,2759358,2759171
27,2759180,2759796,2759661,2759971,2760002,2758916,2759747,2759642,2759865,2759318,2760089,2758920,2759834,2759861,2759516,2760085,2759836,2760027,2759397,2759668,2759855,2759761,2759281,2759304,2759530,2759829,2759570,2759761,2759423,2759833
28,2759455,2759661,2758916,2758982,2759521,2759134,2759394,2759473,2759572,2759110,2760096,2758986,2759649,2758932,2759747,2759469,2759763,2759002,2759425,2760034,2759182,2759644,2759081,2760002,2759771,2759630,2760142,2759682,2759450,2759016
29,2759096,2759785,2759639,2759794,2759515,2759421,2759711,2759734,2759957,2759602,2759978,2759966,2759114,2760090,2759318,2759054,2759765,2759122,2759213,2759856,2760143,2759070,2759681,2759194,2758971,2760009,2759923,2759510,2759198,2759054
30,2759146,2759283,2759273,2760079,2759389,2759816,2759462,2759072,2760092,2760091,2759212,2759963,2760136,2759077,2760099,2759779,2759533,2760078,2759038,2759755,2759551,2758930,2759048,2759891,2759798,2759995,2759622,2759985,2759856,2759368
31,2759474,2759430,2759336,2760045,2759270,2759497,2759260,2759800,2759454,2759069,2759225,2759826,2759762,2759833,2759796,2759322,2759458,2759375,2759476,2759834,2759703,2760118,2759678,2759367,2759328,2759013,2759252,2759652,2759164,2758978
32,2759800,2759789,2759186,2759061,2759649,2760123,2759848,2758949,2759778,2759049,2759997,2760009,2759778,2759013,2759070,2759252,2759627,2760037,2759948,2759752,2759632,2759673,2759708,2760007,2759046,2759997,2759022,2759570,2759376,2760008
33,2759200,2758998,2759355,2758957,2759779,2759096,2760104,2759915,2759081,2759020,2759916,2759708,2759955,2759477,2759173,2760076,2760114,2759456,2759881,2759916,2759805,2759354,2759432,2760093,2759049,2758941,2759409,2759370,2759316,2759020
34,2759427,2759176,2759580,2758955,2759279,2759853,2759236,2760063,2759915,2759957,2759847,2759156,2759426,2759533,2759195,2759012,2760131,2760009,2759969,2759567,2759417,2760063,2758930,2759312,2759094,2759622,2759355,2759990,2759122,2759599
35,2759514,2759765,2759449,2759384,2759046,2759564,2759610,2758979,2759226,2759356,2759175,2759222,2759673,2759600,2759146,2759775,2758949,2759176,2760022,2759373,2759846,2760135,2759790,2759373,2759455,2759499,2759322,2759259,2759691,2759523
36,2759752,2759679,2760062,2759584,2759765,2760081,2759012,2759339,2759691,2759125,2759371,2759381,2759044,2760096,2759371,2759100,2759252,2759100,2758957,2759113,2759751,2760069,2759051,2758915,2760085,2759681,2759909,2758949,2759930,2759240
37,2759948,2760042,2759100,2758920,2759847,2759865,2759337,2759484,2759548,2758920,2759566,2760065,2759693,2759954,2759540,2759957,2760128,2759567,2759196,2759433,2759051,2760021,2759061,2759787,2759399,2759963,2759609,2758957,2760016,2759455
38,2759610,2758940,2759846,2759180,2759265,2759741,2759708,2759977,2759800,2759963,2760062,2758941,2759942,2760052,2759231,2760032,2758971,2759231,2758944,2759013,2760076,2759296,2759215,2759949,2759347,2759914,2759663,2759625,2759933,2759609
39,2759205,2759399,2759884,2759661,2759714,2759361,2759173,2759631,2759050,2759430,2759147,2759153,2758980,2760078,2759176,2759967,2759903,2759868,2759049,2759552,2759639,2759157,2758943,2759202,2759980,2759198,2759744,2759926,2759909,2759992
40,2758940,2760027,2759163,2760128,2759235,2759145,2759664,2759643,2759550,2759149,2759523,2759262,2759015,2759283,2760094,2759058,2759397,2759428,2759648,2759754,2759122,2759744,2759275,2759631,2759222,2759274,2759612,2759070,2759556,2759788
41,2759378,2759574,2759925,2760059,2759232,2759445,2759114,2759926,2759100,2759483,2759360,2759318,2759304,2759050,2758940,2759697,2759509,2759344,2759667,2759969,2760100,2759188,2759941,2759458,2759139,2759561,2760019,2759013,2759012,2759756
42,2759464,2759622,2759217,2759939,2758991,2759322,2760013,2759430,2759245,2759207,2760085,2759475,2759668,2759779,2759337,2759558,2759606,2759871,2759718,2760001,2759673,2759594,2759637,2758962,2759353,2759608,2759874,2760094,2759679,2759901
43,2758965,2759048,2759467,2759463,2759457,2759473,2759759,2759682,2759829,2758997,2759528,2759674,2758949,2759590,2759617,2759503,2759169,2758971,2759593,2759175,2759620,2759484,2759925,2758941,2759161,2759021,2760063,2759525,2760069,2759322
44,2759203,2758997,2760091,2759858,2760060,2759981,2759088,2759515,2759693,2760053,2759904,2759058,2759145,2760021,2759360,2759833,2759078,2759135,2760065,2758997,2759200,2760080,2759986,2759145,2759697,2758955,2759214,2759531,2759236,2759775
45,2759708,2759723,2759254,2759173,2759317,2759105,2759295,2759102,2759200,2759155,2759297,2759641,2759207,2759033,2759093,2759112,2759790,2759882,2758965,2759350,2759545,2759000,2759493,2759133,2759756,2759146,2759956,2759166,2759344,2759569
46,2759262,2759518,2758915,2759526,2759068,2759522,2759835,2759981,2760122,2759941,2759882,2759316,2759096,2760065,2759464,2759021,2760070,2758992,2759441,2759488,2759410,2759359,2759303,2759267,2759796,2759497,2759499,2759576,2759918,2759827
47,2759360,2759158,2760104,2759755,2758949,2758917,2759496,2759314,2759376,2759311,2759530,2759448,2758936,2759663,2759446,2759983,2759176,2759373,2759673,2759366,2759319,2759358,2759587,2759569,2760004,2759953,2759361,2759339,2759395,2759789
48,2759625,2759464,2759010,2759913,2759734,2759417,2759999,2759050,2759552,2759441,2759368,2759419,2759703,2759369,2759567,2759692,2759460,2759905,2759582,2759865,2759923,2759606,2759480,2759871,2759166,2759634,2759514,2759254,2759518,2758916
49,2759517,2758971,2760059,2759608,2759946,2759130,2759161,2759147,2759901,2759382,2759914,2759610,2759248,2759456,2759266,2759948,2758947,2759203,2759545,2759495,2759900,2759546,2759684,2760053,2759992,2760101,2759834,2759620,2759973,2759764
50,2759678,2759146,2759175,2759514,2759697,2759936,2759349,2759877,2760008,2760012,2759210,2758995,2759571,2759897,2759750,2759914,2760066,2760060,2759309,2759034,2760079,2759015,2759710,2760064,2759572,2759343,2759953,2759895,2759622,2759997
51,2759793,2759383,2758977,2759232,2759933,2759318,2758920,2759861,2759601,2759820,2758997,2759529,2759092,2759122,2758952,2759106,2759593,2759266,2760045,2759304,2758995,2759145,2759426,2759534,2759493,2759558,2758921,2759893,2759663,2759589
52,2759260,2759926,2759368,2759385,2760122,2759885,2759242,2759076,2759723,2759861,2759967,2759558,2760058,2760092,2759490,2759238,2759679,2759888,2760091,2759012,2759967,2759353,2759388,2759228,2759841,2759502,2759814,2759423,2759610,2759469
53,2759413,2759913,2759874,2759683,2759309,2758915,2760028,2758916,2759646,2759401,2759501,2759903,2758929,2759894,2759957,2758965,2759368,2759183,2759369,2759231,2759266,2759695,2759518,2758955,2759469,2759641,2759584,2759874,2759546,2760085
54,2760125,2759521,2760068,2759979,2759775,2759175,2760059,2759274,2759817,2759426,2759921,2759813,2759265,2759521,2759328,2759452,2759849,2759282,2759628,2759093,2758946,2759741,2759705,2759216,2760016,2759937,2759475,2759833,2760098,2759473
55,2759457,2759523,2759286,2759747,2759021,2758931,2759058,2759305,2759274,2759553,2758991,2759343,2759949,2759311,2758973,2759255,2760009,2759337,2759145,2759529,2759467,2759748,2759453,2758965,2760104,2759761,2759028,2759476,2759746,2759413
56,2759547,2759155,2759230,2759238,2759646,2759344,2759268,2758952,2759019,2760120,2759547,2759606,2758960,2759462,2759528,2759113,2759948,2759238,2759859,2759891,2759135,2759336,2759598,2759474,2760002,2760112,2759191,2759515,2759836,2759956
57,2759497,2758944,2759466,2759169,2759572,2759553,2759879,2759359,2759441,2759249,2759359,2759148,2760027,2759699,2759457,2759193,2759587,2759725,2759217,2759911,2759064,2759187,2759724,2759829,2759088,2759267,2759396,2759318,2760037,2759452
58,2759688,2759568,2759401,2759717,2759632,2759044,2760142,2759353,2759218,2758916,2760029,2759116,2758986,2759197,2759688,2759890,2760018,2759775,2759919,2759437,2759494,2759119,2759571,2759430,2759218,2759465,2759474,2760079,2759162,2759961
59,2759218,2759082,2759332,2759785,2759808,2759873,2759619,2759299,2759798,2759197,2759797,2760058,2759641,2759984,2758955,2759275,2759569,2759757,2759992,2759149,2759225,2759425,2759785,2760086,2759656,2759861,2759061,2759119,2759126,2759893
60,2759888,2759798,2760140,2759214,2759836,2759913,2759958,2759819,2759978,2760104,2759064,2759550,2759259,2759262,2760111,2759158,2759717,2759109,2759966,2759475,2759185,2759038,2759634,2759163,2759625,2759918,2759785,2759495,2759980,2759543
61,2759600,2759034,2760079,2759119,2759985,2759993,2759622,2760039,2758923,2760086,2759155,2759819,2759028,2759366,2759523,2760123,2759473,2759582,2758991,2759901,2759738,2759596,2759955,2759500,2760142,2759199,2758920,2759606,2759916,2759164
62,2759506,2760012,2759300,2759648,2759076,2759509,2759977,2759757,2760060,2758974,2759425,2758962,2758923,2759766,2759423,2759941,2759600,2759303,2759152,2759408,2758921,2759437,2760042,2759193,2759164,2759688,2759949,2759385,2759772,2759060
63,2759433,2759562,2759770,2758939,2759571,2759819,2759568,2760059,2759088,2759465,2759350,2759881,2759735,2759772,2759359,2759986,2759859,2759384,2759222,2759805,2759219,2759485,2759112,2759766,2760096,2760046,2758986,2759909,2759726,2759158
64,2759608,2759320,2760131,2759208,2760109,2759426,2759359,2759009,2759449,2758954,2759750,2759792,2759618,2760101,2759236,2759383,2759727,2759762,2759257,2759399,2759864,2759277,2759828,2759417,2759663,2759510,2759044,2759212,2759536,2759423
65,2759930,2759014,2759969,2759553,2759082,2759153,2760081,2759948,2758921,2759828,2759346,2759104,2759167,2759187,2760062,2760092,2759295,2759408,2759399,2759147,2759856,2759817,2759397,2759336,2758976,2759296,2758991,2759615,2759256,2759545
66,2759160,2760054,2760080,2759769,2758941,2759476,2759321,2759797,2759813,2759328,2759222,2759595,2760001,2759451,2759662,2759183,2759490,2759566,2760027,2759480,2759683,2759527,2759953,2759046,2760034,2759299,2760091,2759235,2759986,2759768
67,2759612,2759419,2759196,2759112,2759981,2760007,2759616,2759251,2759671,2759494,2759526,2759639,2760039,2759967,2759091,2758922,2759440,2759443,2759634,2759768,2759554,2759077,2760099,2759976,2759782,2759042,2759794,2759536,2759596,2760068
68,2759548,2759514,2759295,2759095,2759349,2759321,2759426,2759818,2759281,2759572,2759478,2759921,2759432,2759569,2760026,2759283,2759133,2759009,2759302,2759937,2759350,2760132,2759355,2759658,2759494,2759284,2760006,2759550,2759312,2759451
69,2759285,2758915,2759800,2759874,2759877,2759787,2759921,2760058,2759060,2759748,2759216,2759397,2759483,2759412,2759823,2759391,2759612,2759015,2759968,2759355,2759564,2759897,2759656,2759140,2759643,2760092,2759413,2759209,2759618,2759852
70,2759764,2759070,2759061,2759909,2759478,2759808,2759689,2759003,2759578,2759951,2759300,2759738,2758951,2759547,2760058,2758947,2759751,2758997,2759064,2759944,2759642,2759954,2759137,2759517,2759690,2759196,2759035,2760028,2759421,2759135
71,2759778,2759064,2760125,2759139,2759321,2759895,2760123,2759013,2759780,2759233,2759171,2758991,2759853,2759163,2760039,2759461,2759650,2759463,2759907,2759509,2758958,2759467,2759348,2759966,2759995,2759645,2759534,2759068,2759525,2759073
72,2760130,2760077,2759765,2759764,2759288,2759315,2759166,2759077,2759112,2759741,2759798,2760040,2759826,2759428,2760109,2759816,2758981,2759140,2759298,2759259,2759124,2759541,2759595,2759785,2759272,2759006,2759500,2760058,2759191,2759874
73,2759692,2760064,2760052,2759790,2759961,2759108,2759020,2759541,2758937,2759650,2759936,2759814,2759373,2759125,2759915,2759596,2759820,2759984,2759197,2759164,2759186,2759667,2759908,2759384,2759467,2758936,2759366,2759477,2759462,2759250
74,2758964,2759936,2759068,2758944,2759657,2759152,2759432,2759337,2759931,2759639,2759019,2758974,2759284,2760026,2759060,2759267,2759759,2759625,2760120,2758957,2759618,2759315,2759235,2759483,2759829,2759205,2759370,2760029,2759606,2759022
75,2759682,2759968,2759741,2759566,2759903,2759433,2759475,2759783,2759328,2759776,2759681,2759211,2759635,2758954,2759870,2759627,2759488,2759194,2759164,2759466,2759523,2759480,2760018,2759963,2759180,2759774,2759211,2759609,2759903,2759113
