,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,2759600,2759380,2759747,2759802,2759885,2759510,2759218,2759245,2759368,2759688,2760140,2759426,2759441,2758997,2759202,2759081,2759135,2760106,2759551,2758971,2759817,2759378,2759160,2759389,2759641,2759644,2759637,2759787,2759362,2759003
1,2759915,2759569,2759970,2759124,2759909,2759556,2760087,2759366,2759255,2759885,2760043,2759294,2759726,2759787,2759668,2759660,2759877,2759126,2759139,2759217,2759884,2759703,2759242,2759252,2759596,2759135,2759570,2759855,2759094,2759644
2,2759701,2759838,2759336,2760004,2759208,2759418,2759154,2759998,2760040,2759033,2759722,2759210,2759408,2759593,2759337,2759136,2759260,2758959,2758926,2760081,2758999,2759529,2758990,2759881,2759105,2759451,2758953,2759011,2759166,2759045
3,2759875,2759284,2760049,2759412,2759109,2759371,2759101,2760094,2759474,2760033,2759999,2759348,2759829,2759862,2759555,2759329,2760129,2759130,2758953,2760070,2759031,2759635,2759183,2759649,2759509,2759778,2759697,2759623,2760006,2759750
4,2759228,2759133,2759401,2759886,2760106,2759958,2759270,2759716,2759703,2759887,2759767,2760087,2759423,2759299,2759168,2758964,2759465,2759507,2759503,2759283,2759916,2759987,2760059,2759054,2759503,2759196,2759461,2759095,2759734,2759199
5,2759088,2759148,2759281,2759914,2759319,2759391,2759127,2759703,2759738,2759027,2759978,2759418,2759751,2759303,2759529,2759337,2759563,2759923,2759524,2760052,2759523,2759154,2759316,2758945,2759196,2758989,2759010,2759916,2759058,2759777
6,2759317,2759415,2759245,2760027,2759466,2759935,2760039,2759692,2760123,2759851,2760134,2759140,2759593,2759746,2759691,2759356,2759522,2759250,2759881,2759140,2759239,2759837,2759349,2759097,2760099,2760121,2758930,2759750,2759632,2759656
7,2759146,2760044,2759103,2758991,2759014,2760032,2759115,2759721,2759408,2759744,2760065,2759394,2759044,2759436,2759317,2759903,2759391,2759530,2759261,2759695,2760001,2760125,2760039,2759152,2760050,2759961,2759103,2760047,2759644,2759870
8,2759834,2759899,2759986,2759125,2759602,2759979,2759340,2759454,2760049,2759054,2759208,2759346,2760123,2759230,2759507,2759907,2760088,2759546,2759951,2759891,2759536,2760136,2759004,2759697,2759104,2759000,2760141,2759965,2760087,2759496
9,2759236,2759061,2759271,2759127,2759366,2759637,2759354,2759423,2759340,2759425,2759345,2759935,2759251,2759238,2759022,2759923,2760055,2759431,2759501,2759042,2759289,2760005,2759531,2759883,2760026,2759690,2759053,2759397,2759577,2759724
10,2759355,2760131,2759539,2759858,2759691,2759029,2759297,2758974,2759443,2758953,2759948,2759020,2759438,2758922,2758935,2759068,2759701,2759747,2759582,2759701,2759531,2760001,2759453,2759189,2759499,2759107,2759022,2759185,2759117,2760113
11,2760076,2759808,2759436,2759476,2759555,2759320,2759330,2759620,2759724,2759843,2760104,2759433,2759466,2759127,2759133,2759781,2759523,2759983,2759092,2760029,2759637,2759269,2759273,2759524,2759804,2759582,2759763,2759116,2759418,2759227
12,2759250,2759599,2759127,2760034,2759948,2759095,2760043,2759103,2760054,2759787,2759418,2759336,2759014,2759152,2759146,2760029,2759564,2759283,2759787,2760003,2759853,2759627,2759970,2759687,2759060,2759935,2759257,2759010,2759011,2759580
13,2759390,2759168,2759265,2759122,2759182,2759489,2759148,2759922,2759016,2759104,2759172,2759279,2758941,2759834,2758942,2759935,2759948,2759586,2760106,2759539,2759569,2759366,2759073,2759077,2759954,2759795,2760063,2759083,2759848,2759262
14,2759968,2760133,2759870,2759280,2759451,2759228,2759353,2760060,2760073,2760091,2759852,2758942,2760044,2758995,2759373,2760071,2759245,2759553,2759191,2759527,2759280,2759602,2758976,2759288,2759873,2759555,2758965,2759221,2759317,2759350
15,2760056,2759646,2759146,2759662,2758926,2760130,2759038,2759556,2759466,2758916,2759877,2759413,2759524,2759819,2760143,2759367,2759745,2759317,2758995,2759569,2760089,2759601,2759656,2758954,2759106,2759383,2759275,2759903,2759443,2759416
16,2759603,2759769,2759199,2760033,2759034,2759567,2760132,2759266,2759576,2760098,2759536,2758972,2759561,2760002,2759058,2759980,2759859,2759099,2759097,2759250,2759993,2760113,2759406,2758940,2759978,2759986,2759235,2759895,2759351,2759431
17,2760084,2759851,2759865,2759219,2759130,2759182,2759691,2758926,2759586,2759016,2759556,2759785,2759988,2758960,2760090,2759899,2759451,2758981,2759233,2759609,2759108,2759450,2759478,2758980,2759493,2759419,2759419,2759371,2759021,2758929
18,2759636,2759134,2759855,2759330,2759425,2759102,2759301,2759175,2760051,2759463,2759410,2760045,2759108,2759094,2759763,2759451,2759294,2759848,2760135,2758955,2759275,2759354,2759721,2759875,2759703,2759793,2759797,2759807,2759688,2759708
19,2759517,2759145,2759399,2759222,2759280,2759555,2758920,2760133,2759462,2759592,2759564,2759047,2760014,2759133,2759662,2759875,2759072,2759718,2760078,2759563,2759674,2758926,2760109,2759060,2759564,2759533,2759539,2759154,2759682,2759797
20,2759624,2760119,2758951,2759013,2759969,2759272,2760113,2759186,2760079,2758941,2759944,2759606,2759856,2759624,2760014,2758994,2758928,2759146,2759454,2758960,2759829,2759175,2759524,2759708,2759864,2760046,2759615,2759776,2759167,2759316
21,2759133,2759155,2760034,2759383,2759939,2759785,2759169,2759153,2759551,2759282,2759211,2758929,2760084,2760077,2759166,2759524,2759123,2759693,2758920,2758942,2759412,2759649,2759506,2759764,2758953,2759055,2759533,2759615,2759422,2759146
22,2759027,2759824,2760092,2759568,2759559,2759638,2759856,2759578,2759227,2759925,2760014,2758954,2759654,2759587,2759453,2759294,2759149,2759169,2759278,2759909,2759371,2759951,2759219,2759013,2759140,2758990,2759194,2759881,2760046,2759418
23,2759959,2759426,2759031,2760111,2760022,2760047,2759883,2758935,2759694,2759140,2758976,2759149,2759551,2759221,2759546,2759118,2759813,2760136,2759554,2759062,2760049,2759077,2759011,2759581,2759171,2760012,2759211,2759191,2759884,2759128
24,2758959,2760056,2759018,2759123,2759049,2759015,2759662,2758977,2760101,2759652,2760045,2759160,2759281,2759533,2759501,2758916,2759741,2759203,2759516,2759243,2759693,2759853,2760060,2759716,2759122,2759167,2759418,2759665,2759646,2759816
25,2759609,2759266,2759603,2759848,2759762,2759119,2759768,2759091,2759515,2759142,2758944,2759562,2760065,2760136,2759086,2760132,2759458,2759463,2759060,2759782,2760112,2759152,2759499,2759979,2759756,2759620,2759656,2759382,2759627,2759987
26,2759870,2760099,2759337,2760002,2759829,2759279,2759384,2759034,2759550,2760088,2758982,2759522,2759282,2759923,2759277,2759166,2759235,2760125,2759272,2759694,2759133,2759340,2759171,2759683,2758941,2759015,2759179,2760040,2759104,2759095
27,2759727,2759699,2759173,2760135,2759606,2759068,2759635,2759539,2759361,2759453,2759814,2759203,2759838,2760029,2759803,2759240,2759462,2758937,2758935,2759330,2759429,2759458,2758915,2759567,2759497,2759829,2759222,2759567,2759553,2759112
28,2759667,2759436,2759382,2759818,2759092,2759148,2759667,2758980,2759107,2759600,2759382,2759576,2759376,2759266,2759568,2759206,2760130,2759843,2759361,2760135,2759768,2759502,2759734,2759600,2759636,2760045,2759273,2759332,2759346,2759104
29,2758921,2759271,2759064,2759580,2759710,2759804,2760052,2759146,2758914,2759216,2760040,2759014,2759985,2759261,2759478,2759939,2759284,2759769,2759683,2759602,2759361,2759547,2759016,2759986,2759516,2759091,2759208,2759656,2759908,2758998
30,2759362,2759916,2759362,2759133,2759723,2759838,2759477,2759338,2759018,2759683,2759265,2759225,2759217,2759225,2758920,2759049,2759923,2759706,2759726,2759413,2759359,2759967,2760068,2759853,2760002,2758986,2759303,2760044,2759050,2759970
31,2759311,2759088,2759888,2759921,2759882,2759703,2759774,2760051,2759137,2759858,2759921,2758937,2759746,2759998,2759957,2759197,2758947,2759140,2758957,2759775,2760109,2759180,2759884,2760032,2759990,2759140,2759997,2758972,2760019,2759055
