,0
0,2759859
1,2759540
2,2759903
3,2759126
4,2759780
5,2758926
6,2759448
7,2759130
8,2759761
9,2759163
10,2759102
11,2759511
12,2760128
13,2758989
14,2759610
15,2760129
16,2760091
17,2759350
18,2759194
19,2759044
20,2759874
21,2759798
22,2758946
23,2759639
24,2759304
25,2759152
26,2759105
27,2759462
28,2759169
29,2759717
30,2759699
31,2759568
32,2760002
33,2759011
34,2759458
35,2759114
36,2759890
37,2759149
38,2758914
39,2759004
40,2759953
41,2759620
42,2760090
43,2760088
44,2759381
45,2759245
46,2759122
47,2759024
48,2759506
49,2759557
50,2759050
51,2759077
52,2760038
53,2759767
54,2759987
55,2760021
56,2759967
57,2759833
58,2759033
59,2759690
60,2759949
61,2759577
62,2759785
63,2759581
64,2759128
65,2759751
66,2759647
67,2759756
68,2759297
69,2759397
70,2759294
71,2759897
72,2759167
73,2759907
74,2759106
75,2759140
76,2759451
77,2759168
78,2759662
79,2759047
