,lowest_price_good_now,id,dateutc,listing_count,avg_price,lowest_price_good_ago,lowest_price,highest_price,city,venuename,venuescore,ticket_score,home_team,away_team,hometeamscore,awayteamscore,daysaway,dateloaded,cntStars_home,WPCT_home,STRK_home,rankNBA_home,cntStars_away,WPCT_away,STRK_away,rankNBA_away,HomeAVG,HomePCT,AwayAVG,AwayPCT,TotalAVG,TotalPCT,Population,numTeams,holiday,weekday,dateutcindateform
0,46.0,2759651,2015-12-29,3431.0,146.0,49.0,49.0,6505.0,Miami,American Airlines Arena,0.85776,0.84152,Miami Heat,Brooklyn Nets,0.78556,0.75524,30,2015-11-29,2,0.667,1.0,5,3,0.188,-2.0,28,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2015-12-29
1,17.0,2759635,2016-03-28,4093.0,76.0,18.0,18.0,4435.0,Miami,American Airlines Arena,0.85776,0.82779,Miami Heat,Brooklyn Nets,0.78556,0.75524,120,2015-11-29,2,0.667,1.0,5,3,0.188,-2.0,28,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Monday,2016-03-28
2,36.0,2759767,2016-01-07,3886.0,125.0,36.0,36.0,5914.0,Miami,American Airlines Arena,0.85776,0.84336,Miami Heat,New York Knicks,0.78556,0.81215,39,2015-11-29,2,0.667,1.0,5,1,0.471,-3.0,19,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Thursday,2016-01-07
3,20.0,2759683,2016-03-06,4046.0,78.0,20.0,20.0,4140.0,Miami,American Airlines Arena,0.85776,0.83536,Miami Heat,Philadelphia 76ers,0.78556,0.70023,98,2015-11-29,2,0.667,1.0,5,0,0.0,-17.0,30,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-03-06
4,30.0,2759671,2015-12-19,3483.0,100.0,32.0,32.0,4731.0,Miami,American Airlines Arena,0.85776,0.82222,Miami Heat,Toronto Raptors,0.78556,0.68539,20,2015-11-29,2,0.667,1.0,5,1,0.647,4.0,7,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2015-12-19
5,41.0,2759649,2016-03-02,3838.0,141.0,33.0,33.0,5914.0,Miami,American Airlines Arena,0.85776,0.84987,Miami Heat,Chicago Bulls,0.78556,0.76158,94,2015-11-29,2,0.667,1.0,5,2,0.643,-1.0,8,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2016-03-02
6,43.0,2759652,2016-04-08,4050.0,142.0,39.0,39.0,7688.0,Miami,American Airlines Arena,0.85776,0.8489,Miami Heat,Chicago Bulls,0.78556,0.76158,131,2015-11-29,2,0.667,1.0,5,2,0.643,-1.0,8,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Friday,2016-04-08
7,29.0,2759687,2015-12-23,3798.0,95.0,30.0,30.0,4435.0,Miami,American Airlines Arena,0.85776,0.82875,Miami Heat,Detroit Pistons,0.78556,0.63675,24,2015-11-29,2,0.667,1.0,5,0,0.5,-1.0,17,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2015-12-23
8,15.0,2759686,2016-04-05,4183.0,75.0,15.0,15.0,4140.0,Miami,American Airlines Arena,0.85776,0.8147,Miami Heat,Detroit Pistons,0.78556,0.63675,128,2015-11-29,2,0.667,1.0,5,0,0.5,-1.0,17,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2016-04-05
9,22.0,2759637,2016-01-05,3390.0,92.5,25.0,25.0,4140.0,Miami,American Airlines Arena,0.85776,0.81682,Miami Heat,Indiana Pacers,0.78556,0.67765,37,2015-11-29,2,0.667,1.0,5,2,0.667,4.0,4,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2016-01-05
